anime_id,name,genre,user_id
3588.0,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",15190
4896.0,Umineko no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural",15190
3457.0,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",15190
7724.0,Shiki,"Mystery, Supernatural, Thriller, Vampire",15190
4752.0,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",15190
11111.0,Another,"Horror, Mystery, School, Supernatural, Thriller",15190
11757.0,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",15190
226.0,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",15190
8525.0,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",15190
10620.0,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",15190
430.0,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",25086
1535.0,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",25086
32.0,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",25086
431.0,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",25086
164.0,Mononoke Hime,"Action, Adventure, Fantasy",25086
5114.0,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",25086
376.0,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",25086
2759.0,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",25086
1818.0,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",25086
3784.0,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",25086
11433.0,Ano Natsu de Matteru,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",27804
3667.0,Strike Witches,"Action, Ecchi, Magic, Military, Sci-Fi",27804
13535.0,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural",27804
9736.0,Astarotte no Omocha!,"Comedy, Demons, Ecchi, Fantasy, Romance, Seinen",27804
21273.0,Gochuumon wa Usagi Desu ka?,"Comedy, Slice of Life",27804
6381.0,Strike Witches 2,"Action, Ecchi, Magic, Military, Sci-Fi",27804
2104.0,Seto no Hanayome,"Comedy, Parody, Romance, School",27804
10456.0,Kyoukaisenjou no Horizon,"Action, Fantasy",27804
13601.0,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",27804
4192.0,Hayate no Gotoku!!,"Action, Comedy, Harem, Parody, Romance",27804
6547.0,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",15189
8630.0,Hidan no Aria,"Action, Comedy, Romance, School",15189
9330.0,Dragon Crisis!,"Action, Magic, Romance, School, Seinen, Supernatural",15189
8425.0,Gosick,"Drama, Historical, Mystery, Romance",15189
1535.0,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",15189
2787.0,Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural",15189
355.0,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",15189
10578.0,C³,"Action, Comedy, Ecchi, School, Supernatural",15189
10163.0,C: The Money of Soul and Possibility Control,"Action, Mystery, Super Power, Thriller",15189
8536.0,Fortune Arterial: Akai Yakusoku,"Comedy, Romance, School, Supernatural, Vampire",15189
356.0,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",41581
19815.0,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",41581
223.0,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",41581
22199.0,Akame ga Kill!,"Action, Adventure, Fantasy",41581
22535.0,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",41581
30269.0,Momoiro Milk,Hentai,41581
9919.0,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",41581
